Allele 1,Allele 2,rs1057910,rs1799853,rs28371685,rs28371686,rs7900194,rs9332131
*1,*1,FAM/FAM,VIC/VIC,FAM/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*1,*2,FAM/FAM,VIC/FAM,FAM/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*1,*3,VIC/FAM,VIC/VIC,FAM/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*1,*5,FAM/FAM,VIC/VIC,FAM/FAM,VIC/FAM,FAM/FAM,FAM/FAM
*1,*6,FAM/FAM,VIC/VIC,FAM/FAM,VIC/VIC,FAM/FAM,VIC/FAM
*1,*8,FAM/FAM,VIC/VIC,FAM/FAM,VIC/VIC,VIC/FAM,FAM/FAM
*1,*11,FAM/FAM,VIC/VIC,VIC/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*2,*2,FAM/FAM,FAM/FAM,FAM/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*2,*3,VIC/FAM,VIC/FAM,FAM/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*2,*5,FAM/FAM,VIC/FAM,FAM/FAM,VIC/FAM,FAM/FAM,FAM/FAM
*2,*6,FAM/FAM,VIC/FAM,FAM/FAM,VIC/VIC,FAM/FAM,VIC/FAM
*2,*8,FAM/FAM,VIC/FAM,FAM/FAM,VIC/VIC,VIC/FAM,FAM/FAM
*2,*11,FAM/FAM,VIC/FAM,VIC/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*3,*3,VIC/VIC,VIC/VIC,FAM/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*3,*5,VIC/FAM,VIC/VIC,FAM/FAM,VIC/FAM,FAM/FAM,FAM/FAM
*3,*6,VIC/FAM,VIC/VIC,FAM/FAM,VIC/VIC,FAM/FAM,VIC/FAM
*3,*8,VIC/FAM,VIC/VIC,FAM/FAM,VIC/VIC,VIC/FAM,FAM/FAM
*3,*11,VIC/FAM,VIC/VIC,VIC/FAM,VIC/VIC,FAM/FAM,FAM/FAM
*5,*5,FAM/FAM,VIC/VIC,FAM/FAM,FAM/FAM,FAM/FAM,FAM/FAM
*5,*6,FAM/FAM,VIC/VIC,FAM/FAM,VIC/FAM,FAM/FAM,VIC/FAM
*5,*8,FAM/FAM,VIC/VIC,FAM/FAM,VIC/FAM,VIC/FAM,FAM/FAM
*5,*11,FAM/FAM,VIC/VIC,VIC/FAM,VIC/FAM,FAM/FAM,FAM/FAM
*6,*6,FAM/FAM,VIC/VIC,FAM/FAM,VIC/VIC,FAM/FAM,VIC/VIC
*6,*8,FAM/FAM,VIC/VIC,FAM/FAM,VIC/VIC,VIC/FAM,VIC/FAM
*6,*11,FAM/FAM,VIC/VIC,VIC/FAM,VIC/VIC,FAM/FAM,VIC/FAM
*8,*8,FAM/FAM,VIC/VIC,FAM/FAM,VIC/VIC,VIC/VIC,FAM/FAM
*8,*11,FAM/FAM,VIC/VIC,VIC/FAM,VIC/VIC,VIC/FAM,FAM/FAM
*11,*11,FAM/FAM,VIC/VIC,VIC/VIC,VIC/VIC,FAM/FAM,FAM/FAM
